from pubchempy import get_compounds

# ok = set()
# nok = set()
# need = {'C', 'H', 'N', 'O', 'F', 'P', 'Cl', 'S', 'Br'}
# data = []
# res = []

# def judge(name):
#     if name in ok:
#         return True
#     if name in nok:
#         return False
#     print("need " + name)
#     compounds = get_compounds(name, 'name')
#     compound = compounds[0] if compounds else None
#     if compound:
#         tmp = set(compound.elements)
#         if not tmp.difference(need):
#             ok.add(name)
#             return True
#         else:
#             nok.add(name)
#             return False
#     else:
#         print("Can't get element of " + name)
#         res.append(name)
#         return False

# f = open('other.txt', 'w')
# with open('res.txt', 'r') as reader:
#     first_line = True
#     for line in reader:
#         if first_line:
#             first_line = False
#             continue
#         lines = line.split(';')
#         solute = lines[0]
#         solvent = lines[1]
#         if judge(solute) and judge(solvent):
#             f.write(line)

# f.close()
# f = open('res.txt', 'a')
# f.write('\n' + time.strftime("%Y-%m-%d %H:%M:%S", time.localtime()) + '\n')
# print("{} can't find".format(len(res)))
# for line in res:
#     f.write(line + '\n')
# f.close()

a = set()
cnt = 0
with open('Solv@Tum_reformated.txt', 'r') as reader:
    first_column = True
    for line in reader:
        if first_column:
            first_column = False
            continue
        if line in a:
            cnt += 1
        else:
            a.add(line)

print(cnt)
;PYRIDINE;CCCCOC(=O)C;c1ccncc1;-5.79
BUTANONE;DECANE;CCC(=O)C;CCCCCCCCCC;-3.27
PENTAN-2-ONE;DECANE;CCCC(=O)C;CCCCCCCCCC;-3.93
2-HEXANONE;DECANE;CCCCC(=O)C;CCCCCCCCCC;-4.61
2-HEPTANONE;DECANE;CCCCCC(=O)C;CCCCCCCCCC;-5.18
METHYL ACETATE;DECANE;CC(=O)OC;CCCCCCCCCC;-2.8
PROPYL ACETATE;DECANE;CCCOC(=O)C;CCCCCCCCCC;-3.96
BUTYL ACETATE;DECANE;CCCCOC(=O)C;CCCCCCCCCC;-4.75
NITROMETHANE;DECANE;C[N+](=O)[O-];CCCCCCCCCC;-2.62
METHANOL;DECANE;CO;CCCCCCCCCC;-1.41
ETHANOL;DECANE;CCO;CCCCCCCCCC;-2.16
1-PROPANOL;DECANE;CCCO;CCCCCCCCCC;-2.76
N-BUTANOL;DECANE;CCCCO;CCCCCCCCCC;-3.77
PENTANOL;DECANE;CCCCCO;CCCCCCCCCC;-4.16
HEXANOL;DECANE;CCCCCCO;CCCCCCCCCC;-4.99
TOLUENE;DECANE;Cc1ccccc1;CCCCCCCCCC;-4.67
ETHYLBENZENE;DECANE;CCc1ccccc1;CCCCCCCCCC;-5.23
CHLOROBENZENE;DECANE;c1ccc(cc1)Cl;CCCCCCCCCC;-4.93
DECANE;DECANE;CCCCCCCCCC;CCCCCCCCCC;-6.6
ETHYL ACETATE;DECANE;CCOC(=O)C;CCCCCCCCCC;-3.28
METHYLCYCLOHEXANE;DECANE;CC1CCCCC1;CCCCCCCCCC;-4.57
PENTYL ACETATE;DECANE;CCCCCOC(=O)C;CCCCCCCCCC;-5.37
TERT-AMYL ALCOHOL;DECANE;CCC(C)(C)O;CCCCCCCCCC;-3.99
4-METHYLPENTAN-2-OL;DECANE;CC(C)CC(C)O;CCCCCCCCCC;-4.56
FLUOROBENZENE;DECANE;c1ccc(cc1)F;CCCCCCCCCC;-3.48
BROMOBENZENE;DECANE;c1ccc(cc1)Br;CCCCCCCCCC;-5.43
TERT-AMYL METHYL ETHER;METHYLCYCLOHEXANE;CCC(C)(C)OC;CC1CCCCC1;-4.41
METHYL TERT-BUTYL ETHER;METHYLCYCLOHEXANE;CC(C)(C)OC;CC1CCCCC1;-3.56
TETRAHYDROFURAN;METHYLCYCLOHEXANE;C1CCOC1;CC1CCCCC1;-3.79
1,4-DIOXANE;METHYLCYCLOHEXANE;C1COCCO1;CC1CCCCC1;-4.01
ACETONE;METHYLCYCLOHEXANE;CC(=O)C;CC1CCCCC1;-2.58
PROPIONITRILE;METHYLCYCLOHEXANE;CCC#N;CC1CCCCC1;-3.56
BUTYRONITRILE;METHYLCYCLOHEXANE;CCCC#N;CC1CCCCC1;-4.26
ETHANOL;METHYLCYCLOHEXANE;CCO;CC1CCCCC1;-2.58
1-PROPANOL;METHYLCYCLOHEXANE;CCCO;CC1CCCCC1;-3.42
N-BUTANOL;METHYLCYCLOHEXANE;CCCCO;CC1CCCCC1;-4.17
TOLUENE;METHYLCYCLOHEXANE;Cc1ccccc1;CC1CCCCC1;-4.84
ETHYLBENZENE;METHYLCYCLOHEXANE;CCc1ccccc1;CC1CCCCC1;-5.48
ISOBUTANOL;METHYLCYCLOHEXANE;CC(C)CO;CC1CCCCC1;-3.94
TERT-BUTANOL;METHYLCYCLOHEXANE;CC(C)(C)O;CC1CCCCC1;-3.49
METHYLCYCLOHEXANE;METHYLCYCLOHEXANE;CC1CCCCC1;CC1CCCCC1;-4.77
NITROETHANE;METHYLCYCLOHEXANE;CC[N+](=O)[O-];CC1CCCCC1;-3.53
ISOPROPYL ACETATE;ISOPROPYL ACETATE;CC(C)OC(=O)C;CC(C)OC(=O)C;-4.67
PENTANE;BUTYRONITRILE;CCCCC;CCCC#N;-2.62
HEXANE;BUTYRONITRILE;CCCCCC;CCCC#N;-3.18
HEPTANE;BUTYRONITRILE;CCCCCCC;CCCC#N;-3.79
OCTANE;BUTYRONITRILE;CCCCCCCC;CCCC#N;-4.38
NONANE;BUTYRONITRILE;CCCCCCCCC;CCCC#N;-4.98
1,4-DIOXANE;BUTYRONITRILE;C1COCCO1;CCCC#N;-5.05
BUTANONE;BUTYRONITRILE;CCC(=O)C;CCCC#N;-4.63
NITROMETHANE;BUTYRONITRILE;C[N+](=O)[O-];CCCC#N;-5.07
ETHANOL;BUTYRONITRILE;CCO;CCCC#N;-4.1
TOLUENE;BUTYRONITRILE;Cc1ccccc1;CCCC#N;-5.04
3-HEXANOL;3-HEXANOL;CCCC(CC)O;CCCC(CC)O;-6.43
4-HEPTANOL;4-HEPTANOL;CCCC(CCC)O;CCCC(CCC)O;-6.98
PENTANE;HEPTANE;CCCCC;CCCCCCC;-3.27
HEXANE;HEPTANE;CCCCCC;CCCCCCC;-3.96
HEPTANE;HEPTANE;CCCCCCC;CCCCCCC;-4.69
OCTANE;HEPTANE;CCCCCCCC;CCCCCCC;-5.35
NONANE;HEPTANE;CCCCCCCCC;CCCCCCC;-6.07
DICHLOROMETHANE;HEPTANE;C(Cl)Cl;CCCCCCC;-2.91
CHLOROFORM;HEPTANE;C(Cl)(Cl)Cl;CCCCCCC;-3.62
CARBON TETRACHLORIDE;HEPTANE;C(Cl)(Cl)(Cl)Cl;CCCCCCC;-4.09
ETBE;HEPTANE;CCOC(C)(C)C;CCCCCCC;-3.98
TERT-AMYL METHYL ETHER;HEPTANE;CCC(C)(C)OC;CCCCCCC;-4.24
METHYL TERT-BUTYL ETHER;HEPTANE;CC(C)(C)OC;CCCCCCC;-3.54
1,4-DIOXANE;HEPTANE;C1COCCO1;CCCCCCC;-4.02
ACETONE;HEPTANE;CC(=O)C;CCCCCCC;-2.55
BUTANONE;HEPTANE;CCC(=O)C;CCCCCCC;-3.4
PENTAN-2-ONE;HEPTANE;CCCC(=O)C;CCCCCCC;-4.07
2-HEXANONE;HEPTANE;CCCCC(=O)C;CCCCCCC;-4.55
2-HEPTANONE;HEPTANE;CCCCCC(=O)C;CCCCCCC;-5.22
METHYL ACETATE;HEPTANE;CC(=O)OC;CCCCCCC;-2.78
PROPYL ACETATE;HEPTANE;CCCOC(=O)C;CCCCCCC;-4.02
BUTYL ACETATE;HEPTANE;CCCCOC(=O)C;CCCCCCC;-4.92
ACETONITRILE;HEPTANE;CC#N;CCCCCCC;-2.28
PROPIONITRILE;HEPTANE;CCC#N;CCCCCCC;-2.86
BUTYRONITRILE;HEPTANE;CCCC#N;CCCCCCC;-3.68
TRIETHYLAMINE;HEPTANE;CCN(CC)CC;CCCCCCC;-4.47
NITROMETHANE;HEPTANE;C[N+](=O)[O-];CCCCCCC;-2.62
METHANOL;HEPTANE;CO;CCCCCCC;-1.64
ETHANOL;HEPTANE;CCO;CCCCCCC;-2.24
1-PROPANOL;HEPTANE;CCCO;CCCCCCC;-2.99
N-BUTANOL;HEPTANE;CCCCO;CCCCCCC;-3.75
PENTANOL;HEPTANE;CCCCCO;CCCCCCC;-4.5
HEXANOL;HEPTANE;CCCCCCO;CCCCCCC;-5.28
HEPTAN-1-OL;HEPTANE;CCCCCCCO;CCCCCCC;-5.59
1-OCTANOL;HEPTANE;CCCCCCCCO;CCCCCCC;-6.41
TOLUENE;HEPTANE;Cc1ccccc1;CCCCCCC;-4.73
ETHYLBENZENE;HEPTANE;CCc1ccccc1;CCCCCCC;-5.31
CHLOROBENZENE;HEPTANE;c1ccc(cc1)Cl;CCCCCCC;-5.17
BROMOETHANE;HEPTANE;CCBr;CCCCCCC;-3.04
ISOPROPANOL;HEPTANE;CC(C)O;CCCCCCC;-2.61
CARBON DISULFIDE;HEPTANE;C(=S)=S;CCCCCCC;-3.33
P-XYLENE;HEPTANE;Cc1ccc(cc1)C;CCCCCCC;-5.39
ETHYL ACETATE;HEPTANE;CCOC(=O)C;CCCCCCC;-3.53
1-CHLOROBUTANE;HEPTANE;CCCCCl;CCCCCCC;-3.96
DICHLOROETHANE;HEPTANE;C(CCl)Cl;CCCCCCC;-3.7
ISOBUTANOL;HEPTANE;CC(C)CO;CCCCCCC;-3.52
TERT-BUTANOL;HEPTANE;CC(C)(C)O;CCCCCCC;-3.01
O-XYLENE;HEPTANE;Cc1ccccc1C;CCCCCCC;-5.51
METHYLCYCLOHEXANE;HEPTANE;CC1CCCCC1;CCCCCCC;-4.79
3-METHYLBUTAN-1-OL;HEPTANE;CC(C)CCO;CCCCCCC;-3.96
PENTYL ACETATE;HEPTANE;CCCCCOC(=O)C;CCCCCCC;-5.48
NITROETHANE;HEPTANE;CC[N+](=O)[O-];CCCCCCC;-3.34
M-XYLENE;HEPTANE;Cc1cccc(c1)C;CCCCCCC;-5.39
ANISOLE;HEPTANE;COc1ccccc1;CCCCCCC;-5.35
BENZONITRILE;HEPTANE;c1ccc(cc1)C#N;CCCCCCC;-5.33
FLUOROBENZENE;HEPTANE;c1ccc(cc1)F;CCCCCCC;-4.13
BROMOBENZENE;HEPTANE;c1ccc(cc1)Br;CCCCCCC;-5.72
PHENYLAMINE;HEPTANE;c1ccc(cc1)N;CCCCCCC;-5.38
NITROBENZENE;HEPTANE;c1ccc(cc1)[N+](=O)[O-];CCCCCCC;-6.14
CYCLOHEXANONE;HEPTANE;C1CCC(=O)CC1;CCCCCCC;-5.18
2-ETHOXYETHANOL;HEPTANE;CCOCCO;CCCCCCC;-3.85
CYCLOOCTANE;HEPTANE;C1CCCCCCC1;CCCCCCC;-5.83
IODOBENZENE;HEPTANE;c1ccc(cc1)I;CCCCCCC;-6.27
M-CRESOL;HEPTANE;Cc1cccc(c1)O;CCCCCCC;-5.77
PENTAN-2-ONE;PENTAN-2-ONE;CCCC(=O)C;CCCC(=O)C;-5.03
PROPYL ACETATE;PROPYL ACETATE;CCCOC(=O)C;CCCOC(=O)C;-5.02
PENTANE;CARBON DISULFIDE;CCCCC;C(=S)=S;-3.26
HEXANE;CARBON DISULFIDE;CCCCCC;C(=S)=S;-4.0
HEPTANE;CARBON DISULFIDE;CCCCCCC;C(=S)=S;-4.74
OCTANE;CARBON DISULFIDE;CCCCCCCC;C(=S)=S;-5.47
NONANE;CARBON DISULFIDE;CCCCCCCCC;C(=S)=S;-6.22
1,4-DIOXANE;CARBON DISULFIDE;C1COCCO1;C(=S)=S;-4.6
BUTANONE;CARBON DISULFIDE;CCC(=O)C;C(=S)=S;-3.84
NITROMETHANE;CARBON DISULFIDE;C[N+](=O)[O-];C(=S)=S;-3.19
ETHANOL;CARBON DISULFIDE;CCO;C(=S)=S;-2.46
TOLUENE;CARBON DISULFIDE;Cc1ccccc1;C(=S)=S;-5.27
PENTANE;ETHANOL;CCCCC;CCO;-2.43
HEXANE;ETHANOL;CCCCCC;CCO;-3.06
HEPTANE;ETHANOL;CCCCCCC;CCO;-3.7
OCTANE;ETHANOL;CCCCCCCC;CCO;-4.32
NONANE;ETHANOL;CCCCCCCCC;CCO;-4.8
DICHLOROMETHANE;ETHANOL;C(Cl)Cl;CCO;-3.36
CHLOROFORM;ETHANOL;C(Cl)(Cl)Cl;CCO;-4.17
CARBON TETRACHLORIDE;ETHANOL;C(Cl)(Cl)(Cl)Cl;CCO;-3.75
TETRAHYDROFURAN;ETHANOL;C1CCOC1;CCO;-4.14
1,4-DIOXANE;ETHANOL;C1COCCO1;CCO;-4.69
ACETONE;ETHANOL;CC(=O)C;CCO;-3.78
BUTANONE;ETHANOL;CCC(=O)C;CCO;-4.31
ACETONITRILE;ETHANOL;CC#N;CCO;-3.96
TRIETHYLAMINE;ETHANOL;CCN(CC)CC;CCO;-4.87
NITROMETHANE;ETHANOL;C[N+](=O)[O-];CCO;-4.23
METHANOL;ETHANOL;CO;CCO;-4.64
ETHANOL;ETHANOL;CCO;CCO;-5.09
1-PROPANOL;ETHANOL;CCCO;CCO;-5.73
TOLUENE;ETHANOL;Cc1ccccc1;CCO;-4.47
ETHYLBENZENE;ETHANOL;CCc1ccccc1;CCO;-4.93
CHLOROBENZENE;ETHANOL;c1ccc(cc1)Cl;CCO;-5.02
DECANE;ETHANOL;CCCCCCCCCC;CCO;-5.35
HEXADECANE;ETHANOL;CCCCCCCCCCCCCCCC;CCO;-8.96
BROMOETHANE;ETHANOL;CCBr;CCO;-3.03
ISOPROPANOL;ETHANOL;CC(C)O;CCO;-5.27
CARBON DISULFIDE;ETHANOL;C(=S)=S;CCO;-3.1
P-XYLENE;ETHANOL;Cc1ccc(cc1)C;CCO;-5.09
PYRIDINE;ETHANOL;c1ccncc1;CCO;-5.7
ETHYL ACETATE;ETHANOL;CCOC(=O)C;CCO;-4.06
DIMETHYLFORMAMIDE;ETHANOL;CN(C)C=O;CCO;-6.78
HEXANE;2-ISOPROPOXYETHANOL;CCCCCC;CC(C)OCCO;-3.17
HEPTANE;2-ISOPROPOXYETHANOL;CCCCCCC;CC(C)OCCO;-3.77
OCTANE;2-ISOPROPOXYETHANOL;CCCCCCCC;CC(C)OCCO;-4.4
NONANE;2-ISOPROPOXYETHANOL;CCCCCCCCC;CC(C)OCCO;-4.94
DICHLOROMETHANE;2-ISOPROPOXYETHANOL;C(Cl)Cl;CC(C)OCCO;-3.78
TETRAHYDROFURAN;2-ISOPROPOXYETHANOL;C1CCOC1;CC(C)OCCO;-4.08
1,4-DIOXANE;2-ISOPROPOXYETHANOL;C1COCCO1;CC(C)OCCO;-4.81
ACETONE;2-ISOPROPOXYETHANOL;CC(=O)C;CC(C)OCCO;-3.64
BUTYL ACETATE;2-ISOPROPOXYETHANOL;CCCCOC(=O)C;CC(C)OCCO;-5.07
ACETONITRILE;2-ISOPROPOXYETHANOL;CC#N;CC(C)OCCO;-4.02
ETHYLBENZENE;2-ISOPROPOXYETHANOL;CCc1ccccc1;CC(C)OCCO;-5.18
CHLOROBENZENE;2-ISOPROPOXYETHANOL;c1ccc(cc1)Cl;CC(C)OCCO;-5.35
ISOPROPANOL;2-ISOPROPOXYETHANOL;CC(C)O;CC(C)OCCO;-4.74
P-XYLENE;2-ISOPROPOXYETHANOL;Cc1ccc(cc1)C;CC(C)OCCO;-5.25
O-XYLENE;2-ISOPROPOXYETHANOL;Cc1ccccc1C;CC(C)OCCO;-5.4
M-XYLENE;2-ISOPROPOXYETHANOL;Cc1cccc(c1)C;CC(C)OCCO;-5.32
FLUOROBENZENE;2-ISOPROPOXYETHANOL;c1ccc(cc1)F;CC(C)OCCO;-4.36
BROMOBENZENE;2-ISOPROPOXYETHANOL;c1ccc(cc1)Br;CC(C)OCCO;-5.92
PENTANE;BENZYL ALCOHOL;CCCCC;c1ccc(cc1)CO;-2.11
HEXANE;BENZYL ALCOHOL;CCCCCC;c1ccc(cc1)CO;-2.68
HEPTANE;BENZYL ALCOHOL;CCCCCCC;c1ccc(cc1)CO;-3.23
OCTANE;BENZYL ALCOHOL;CCCCCCCC;c1ccc(cc1)CO;-3.8
NONANE;BENZYL ALCOHOL;CCCCCCCCC;c1ccc(cc1)CO;-4.36
1,4-DIOXANE;BENZYL ALCOHOL;C1COCCO1;c1ccc(cc1)CO;-5.47
BUTANONE;BENZYL ALCOHOL;CCC(=O)C;c1ccc(cc1)CO;-4.65
NITROMETHANE;BENZYL ALCOHOL;C[N+](=O)[O-];c1ccc(cc1)CO;-4.47
ETHANOL;BENZYL ALCOHOL;CCO;c1ccc(cc1)CO;-4.73
TOLUENE;BENZYL ALCOHOL;Cc1ccccc1;c1ccc(cc1)CO;-4.59
PENTANE;DIMETHYLFORMAMIDE;CCCCC;CN(C)C=O;-2.18
HEXANE;DIMETHYLFORMAMIDE;CCCCCC;CN(C)C=O;-2.69
HEPTANE;DIMETHYLFORMAMIDE;CCCCCCC;CN(C)C=O;-3.21
OCTANE;DIMETHYLFORMAMIDE;CCCCCCCC;CN(C)C=O;-3.74
NONANE;DIMETHYLFORMAMIDE;CCCCCCCCC;CN(C)C=O;-4.28
DIETHYL ETHER;DIMETHYLFORMAMIDE;CCOCC;CN(C)C=O;-2.81
PROPYL ETHER;DIMETHYLFORMAMIDE;CCCOCCC;CN(C)C=O;-3.62
DIISOPROPYL ETHER;DIMETHYLFORMAMIDE;CC(C)OC(C)C;CN(C)C=O;-3.19
ETBE;DIMETHYLFORMAMIDE;CCOC(C)(C)C;CN(C)C=O;-3.32
TERT-AMYL METHYL ETHER;DIMETHYLFORMAMIDE;CCC(C)(C)OC;CN(C)C=O;-3.78
METHYL TERT-BUTYL ETHER;DIMETHYLFORMAMIDE;CC(C)(C)OC;CN(C)C=O;-3.18
TETRAHYDROFURAN;DIMETHYLFORMAMIDE;C1CCOC1;CN(C)C=O;-4.0
1,4-DIOXANE;DIMETHYLFORMAMIDE;C1COCCO1;CN(C)C=O;-5.07
ACETONE;DIMETHYLFORMAMIDE;CC(=O)C;CN(C)C=O;-4.02
BUTANONE;DIMETHYLFORMAMIDE;CCC(=O)C;CN(C)C=O;-4.58
METHYL ACETATE;DIMETHYLFORMAMIDE;CC(=O)OC;CN(C)C=O;-3.9
ACETONITRILE;DIMETHYLFORMAMIDE;CC#N;CN(C)C=O;-4.65
PROPIONITRILE;DIMETHYLFORMAMIDE;CCC#N;CN(C)C=O;-5.01
TRIETHYLAMINE;DIMETHYLFORMAMIDE;CCN(CC)CC;CN(C)C=O;-3.57
NITROMETHANE;DIMETHYLFORMAMIDE;C[N+](=O)[O-];CN(C)C=O;-5.55
METHANOL;DIMETHYLFORMAMIDE;CO;CN(C)C=O;-4.64
ETHANOL;DIMETHYLFORMAMIDE;CCO;CN(C)C=O;-5.09
1-PROPANOL;DIMETHYLFORMAMIDE;CCCO;CN(C)C=O;-5.57
TOLUENE;DIMETHYLFORMAMIDE;Cc1ccccc1;CN(C)C=O;-4.97
CHLOROBENZENE;DIMETHYLFORMAMIDE;c1ccc(cc1)Cl;CN(C)C=O;-5.66
DECANE;DIMETHYLFORMAMIDE;CCCCCCCCCC;CN(C)C=O;-4.94
BROMOETHANE;DIMETHYLFORMAMIDE;CCBr;CN(C)C=O;-3.22
CARBON DISULFIDE;DIMETHYLFORMAMIDE;C(=S)=S;CN(C)C=O;-3.0
ETHYL ACETATE;DIMETHYLFORMAMIDE;CCOC(=O)C;CN(C)C=O;-4.34
DIMETHYLFORMAMIDE;DIMETHYLFORMAMIDE;CN(C)C=O;CN(C)C=O;-6.44
2,2,4-TRIMETHYLPENTANE;DIMETHYLFORMAMIDE;CC(C)CC(C)(C)C;CN(C)C=O;-3.18
METHYLCYCLOHEXANE;DIMETHYLFORMAMIDE;CC1CCCCC1;CN(C)C=O;-3.51
FLUOROBENZENE;DIMETHYLFORMAMIDE;c1ccc(cc1)F;CN(C)C=O;-4.75
BROMOBENZENE;DIMETHYLFORMAMIDE;c1ccc(cc1)Br;CN(C)C=O;-6.21
UNDECANE;DIMETHYLFORMAMIDE;CCCCCCCCCCC;CN(C)C=O;-5.57
DODECANE;DIMETHYLFORMAMIDE;CCCCCCCCCCCC;CN(C)C=O;-6.15
CYCLOOCTANE;DIMETHYLFORMAMIDE;C1CCCCCCC1;CN(C)C=O;-4.39
IODOBENZENE;DIMETHYLFORMAMIDE;c1ccc(cc1)I;CN(C)C=O;-7.09
OCTANE;2-PICOLINE;CCCCCCCC;Cc1ccccn1;-4.82
1,4-DIOXANE;2-PICOLINE;C1COCCO1;Cc1ccccn1;-5.06
BUTANONE;2-PICOLINE;CCC(=O)C;Cc1ccccn1;-4.56
NITROMETHANE;2-PICOLINE;C[N+](=O)[O-];Cc1ccccn1;-4.88
ETHANOL;2-PICOLINE;CCO;Cc1ccccn1;-4.94
TOLUENE;2-PICOLINE;Cc1ccccc1;Cc1ccccn1;-5.18
PENTANE;CHLOROFORM;CCCCC;C(Cl)(Cl)Cl;-3.22
HEXANE;CHLOROFORM;CCCCCC;C(Cl)(Cl)Cl;-3.92
HEPTANE;CHLOROFORM;CCCCCCC;C(Cl)(Cl)Cl;-4.62
OCTANE;CHLOROFORM;CCCCCCCC;C(Cl)(Cl)Cl;-5.32
NONANE;CHLOROFORM;CCCCCCCCC;C(Cl)(Cl)Cl;-6.03
DICHLOROMETHANE;CHLOROFORM;C(Cl)Cl;C(Cl)(Cl)Cl;-3.67
CHLOROFORM;CHLOROFORM;C(Cl)(Cl)Cl;C(Cl)(Cl)Cl;-4.19
CARBON TETRACHLORIDE;CHLOROFORM;C(Cl)(Cl)(Cl)Cl;C(Cl)(Cl)Cl;-4.43
DIETHYL ETHER;CHLOROFORM;CCOCC;C(Cl)(Cl)Cl;-4.16
DIISOPROPYL ETHER;CHLOROFORM;CC(C)OC(C)C;C(Cl)(Cl)Cl;-4.94
METHYL TERT-BUTYL ETHER;CHLOROFORM;CC(C)(C)OC;C(Cl)(Cl)Cl;-4.88
TETRAHYDROFURAN;CHLOROFORM;C1CCOC1;C(Cl)(Cl)Cl;-5.27
1,4-DIOXANE;CHLOROFORM;C1COCCO1;C(Cl)(Cl)Cl;-6.06
ACETONE;CHLOROFORM;CC(=O)C;C(Cl)(Cl)Cl;-4.49
BUTANONE;CHLOROFORM;CCC(=O)C;C(Cl)(Cl)Cl;-5.28
METHYL ACETATE;CHLOROFORM;CC(=O)OC;C(Cl)(Cl)Cl;-4.72
PROPYL ACETATE;CHLOROFORM;CCCOC(=O)C;C(Cl)(Cl)Cl;-6.29
BUTYL ACETATE;CHLOROFORM;CCCCOC(=O)C;C(Cl)(Cl)Cl;-6.81
ACETONITRILE;CHLOROFORM;CC#N;C(Cl)(Cl)Cl;-4.43
TRIETHYLAMINE;CHLOROFORM;CCN(CC)CC;C(Cl)(Cl)Cl;-5.76
NITROMETHANE;CHLOROFORM;C[N+](=O)[O-];C(Cl)(Cl)Cl;-4.62
METHANOL;CHLOROFORM;CO;C(Cl)(Cl)Cl;-3.42
ETHANOL;CHLOROFORM;CCO;C(Cl)(Cl)Cl;-4.01
1-PROPANOL;CHLOROFORM;CCCO;C(Cl)(Cl)Cl;-4.45
N-BUTANOL;CHLOROFORM;CCCCO;C(Cl)(Cl)Cl;-5.29
PENTANOL;CHLOROFORM;CCCCCO;C(Cl)(Cl)Cl;-6.0
HEXANOL;CHLOROFORM;CCCCCCO;C(Cl)(Cl)Cl;-6.71
HEPTAN-1-OL;CHLOROFORM;CCCCCCCO;C(Cl)(Cl)Cl;-7.5
TOLUENE;CHLOROFORM;Cc1ccccc1;C(Cl)(Cl)Cl;-5.54
ETHYLBENZENE;CHLOROFORM;CCc1ccccc1;C(Cl)(Cl)Cl;-5.84
CHLOROBENZENE;CHLOROFORM;c1ccc(cc1)Cl;C(Cl)(Cl)Cl;-5.76
BROMOETHANE;CHLOROFORM;CCBr;C(Cl)(Cl)Cl;-3.77
ISOPROPANOL;CHLOROFORM;CC(C)O;C(Cl)(Cl)Cl;-4.27
PYRIDINE;CHLOROFORM;c1ccncc1;C(Cl)(Cl)Cl;-6.45
ETHYL ACETATE;CHLOROFORM;CCOC(=O)C;C(Cl)(Cl)Cl;-5.43
DICHLOROETHANE;CHLOROFORM;C(CCl)Cl;C(Cl)(Cl)Cl;-4.69
ACETIC ACID;CHLOROFORM;CC(=O)O;C(Cl)(Cl)Cl;-4.71
ISOBUTANOL;CHLOROFORM;CC(C)CO;C(Cl)(Cl)Cl;-4.97
TERT-BUTANOL;CHLOROFORM;CC(C)(C)O;C(Cl)(Cl)Cl;-4.45
O-XYLENE;CHLOROFORM;Cc1ccccc1C;C(Cl)(Cl)Cl;-6.23
2-PICOLINE;CHLOROFORM;Cc1ccccn1;C(Cl)(Cl)Cl;-6.9
TETRAHYDROPYRAN;CHLOROFORM;C1CCOCC1;C(Cl)(Cl)Cl;-5.84
PENTYL ACETATE;CHLOROFORM;CCCCCOC(=O)C;C(Cl)(Cl)Cl;-7.42
DIMETHYL SULFOXIDE;CHLOROFORM;CS(=O)C;C(Cl)(Cl)Cl;-8.77
M-XYLENE;CHLOROFORM;Cc1cccc(c1)C;C(Cl)(Cl)Cl;-5.85
ANISOLE;CHLOROFORM;COc1ccccc1;C(Cl)(Cl)Cl;-6.71
BENZONITRILE;CHLOROFORM;c1ccc(cc1)C#N;C(Cl)(Cl)Cl;-7.84
TERT-AMYL ALCOHOL;CHLOROFORM;CCC(C)(C)O;C(Cl)(Cl)Cl;-5.1
4-METHYLPENTAN-2-OL;CHLOROFORM;CC(C)CC(C)O;C(Cl)(Cl)Cl;-5.88
FLUOROBENZENE;CHLOROFORM;c1ccc(cc1)F;C(Cl)(Cl)Cl;-4.69
BROMOBENZENE;CHLOROFORM;c1ccc(cc1)Br;C(Cl)(Cl)Cl;-6.41
PHENYLAMINE;CHLOROFORM;c1ccc(cc1)N;C(Cl)(Cl)Cl;-7.71
NITROBENZENE;CHLOROFORM;c1ccc(cc1)[N+](=O)[O-];C(Cl)(Cl)Cl;-7.79
BENZYL ALCOHOL;CHLOROFORM;c1ccc(cc1)CO;C(Cl)(Cl)Cl;-7.94
2-ETHOXYETHANOL;CHLOROFORM;CCOCCO;C(Cl)(Cl)Cl;-6.26
ACETOPHENONE;CHLOROFORM;CC(=O)c1ccccc1;C(Cl)(Cl)Cl;-8.39
IODOBENZENE;CHLOROFORM;c1ccc(cc1)I;C(Cl)(Cl)Cl;-6.62
M-CRESOL;CHLOROFORM;Cc1cccc(c1)O;C(Cl)(Cl)Cl;-7.49
ETHYL PHENYL ETHER;CHLOROFORM;CCOc1ccccc1;C(Cl)(Cl)Cl;-7.16
ALLYL ALCOHOL;CHLOROFORM;C=CCO;C(Cl)(Cl)Cl;-4.34
PROPYLENE CARBONATE;CHLOROFORM;CC1COC(=O)O1;C(Cl)(Cl)Cl;-7.59
N,N-DIMETHYLACETAMIDE;CHLOROFORM;CC(=O)N(C)C;C(Cl)(Cl)Cl;-8.06
HEXANE;2-BUTOXYETHANOL;CCCCCC;CCCCOCCO;-3.18
HEPTANE;2-BUTOXYETHANOL;CCCCCCC;CCCCOCCO;-3.86
OCTANE;2-BUTOXYETHANOL;CCCCCCCC;CCCCOCCO;-4.46
NONANE;2-BUTOXYETHANOL;CCCCCCCCC;CCCCOCCO;-5.06
TOLUENE;2-BUTOXYETHANOL;Cc1ccccc1;CCCCOCCO;-4.69
ETHYLBENZENE;2-BUTOXYETHANOL;CCc1ccccc1;CCCCOCCO;-5.23
CHLOROBENZENE;2-BUTOXYETHANOL;c1ccc(cc1)Cl;CCCCOCCO;-5.33
DECANE;2-BUTOXYETHANOL;CCCCCCCCCC;CCCCOCCO;-5.59
P-XYLENE;2-BUTOXYETHANOL;Cc1ccc(cc1)C;CCCCOCCO;-5.02
